"pack_id","strawberry","orange","lemon","apple","grape","uncounted"
"001",10,15,11,7,18,0
"002",5,12,17,15,10,0
"003",16,11,15,11,9,0
"004",15,8,13,16,7,0
"005",11,14,20,8,7,1
"006",10,11,11,17,11,0
"007",9,17,6,17,14,0
"008",14,12,13,11,12,0
"009",11,11,14,10,17,0
"010",12,6,18,11,12,1
"011",16,7,5,22,10,0
"012",14,9,13,16,10,0
"013",15,7,11,11,17,0
"014",20,2,8,22,7,0
"015",15,11,7,11,15,0
"016",16,13,15,8,12,0
"017",10,13,15,11,14,0
"018",12,10,9,8,20,0
"019",9,17,10,15,11,0
"020",9,11,16,12,14,0
"021",13,10,12,17,8,0
"022",10,14,9,13,14,0
"023",9,12,20,13,8,0
"024",15,11,12,15,8,0
"025",19,8,8,14,14,0
"026",12,14,13,15,9,0
"027",12,9,11,13,13,0
"028",13,9,15,13,11,0
"029",12,10,12,16,9,0
"030",12,9,13,12,13,0
"031",9,9,11,17,18,0
"032",13,9,13,10,15,0
"033",15,10,11,11,18,0
"034",18,11,9,20,6,0
"035",9,10,15,11,16,0
"036",13,10,9,12,14,0
"037",5,22,14,10,8,0
"038",12,13,9,10,16,0
"039",14,9,9,11,18,0
"040",11,18,8,8,17,1
"041",8,13,11,15,15,0
"042",14,13,12,10,10,0
"043",12,9,14,8,16,0
"044",16,15,13,3,11,0
"045",13,12,14,9,14,0
"046",8,13,16,11,12,0
"047",15,9,15,7,16,1
"048",16,10,17,12,6,0
"049",9,12,11,10,18,0
"050",14,8,19,7,13,0
"051",13,12,15,8,13,0
"052",22,10,12,9,7,0
"053",6,15,16,13,13,0
"054",18,14,11,6,12,0
"055",11,13,15,10,14,1
"056",15,10,10,9,18,0
"057",9,11,24,6,10,0
"058",10,11,13,8,16,0
"059",11,12,15,8,17,0
"060",13,14,12,11,10,1
"061",13,12,10,8,18,0
"062",14,15,12,4,17,0
"063",14,14,11,10,12,0
"064",11,5,19,12,14,0
"065",12,9,14,6,18,0
"066",12,9,17,6,15,0
"067",12,15,17,9,7,0
"068",4,16,16,9,14,0
"069",13,12,11,4,21,0
"070",14,14,10,11,12,0
"071",10,17,8,10,14,0
"072",12,12,14,7,18,0
"073",12,15,12,11,10,0
"074",13,9,9,17,12,0
"075",9,12,8,16,13,0
"076",8,10,11,13,17,0
"077",7,16,11,15,10,0
"078",11,12,18,11,9,0
"079",9,14,12,12,13,0
"080",6,11,12,12,15,1
"081",12,9,9,13,15,0
"082",9,15,11,15,9,0
"083",7,13,10,13,16,0
"084",6,15,15,13,11,0
"085",11,10,8,16,14,0
"086",7,16,13,8,15,0
"087",13,10,16,17,5,0
"088",8,12,13,11,16,1
"089",7,18,14,8,11,0
"090",7,15,14,16,7,0
"091",13,12,9,13,15,0
"092",9,13,16,10,12,0
"093",8,13,15,9,14,0
"094",11,12,14,11,11,0
"095",13,15,14,9,7,0
"096",11,19,14,9,7,0
"097",13,20,15,5,4,0
"098",12,8,16,13,9,1
"099",8,15,12,15,10,0
"100",11,12,12,12,13,0
"101",4,16,15,15,10,0
"102",12,8,17,15,9,0
"103",7,13,14,13,11,1
"104",14,14,9,11,11,0
"105",13,17,6,14,12,0
"106",10,9,15,16,10,0
"107",10,13,13,15,9,0
"108",14,5,17,13,10,0
"109",16,12,9,9,14,0
"110",16,11,13,10,14,0
"111",12,11,17,11,9,1
"112",15,8,10,12,16,0
"113",15,10,17,10,8,1
"114",9,13,10,19,10,0
"115",20,13,10,11,6,0
"116",16,16,13,9,7,0
"117",17,11,13,7,12,0
"118",15,8,14,13,10,0
"119",5,12,8,16,20,0
"120",11,10,19,8,12,0
"121",16,13,11,12,8,0
"122",18,14,4,14,12,0
"123",10,14,13,15,7,0
"124",13,11,14,11,12,0
"125",15,13,17,6,10,0
"126",14,6,16,11,14,0
"127",10,9,14,15,11,1
"128",15,12,9,12,13,0
"129",13,11,12,12,12,1
"130",13,6,17,7,16,0
"131",12,13,12,11,11,0
"132",10,17,13,7,13,0
"133",13,11,10,13,12,0
"134",12,12,16,12,9,0
"135",16,10,12,10,13,0
"136",12,11,9,10,16,0
"137",15,13,12,13,8,0
"138",17,13,11,10,9,0
"139",15,8,13,10,13,0
"140",15,8,16,8,12,0
"141",9,13,16,9,12,0
"142",14,10,10,14,13,0
"143",8,11,15,10,13,0
"144",11,16,8,15,10,1
"145",10,11,10,16,14,0
"146",12,9,12,15,11,0
"147",14,11,11,14,8,0
"148",18,8,9,10,14,0
"149",14,10,8,14,12,0
"150",8,11,16,10,13,1
"151",19,10,5,11,13,1
"152",15,9,7,14,16,0
"153",18,12,9,12,7,0
"154",13,13,7,13,15,0
"155",11,9,8,13,19,0
"156",17,8,12,10,10,0
"157",15,9,13,12,11,0
"158",15,10,11,12,11,0
"159",18,8,17,9,6,0
"160",10,16,10,9,15,0
"161",12,7,14,15,9,1
"162",18,9,6,13,14,0
"163",14,11,7,7,19,1
"164",13,11,16,10,9,0
"165",13,10,8,14,13,1
"166",15,11,18,10,7,0
"167",18,9,8,14,11,0
"168",15,8,13,10,12,0
"169",18,13,7,9,12,0
"170",13,16,5,13,11,1
"171",12,13,14,7,12,0
"172",10,9,9,18,12,1
"173",12,8,15,15,9,0
"174",14,7,12,6,21,0
"175",17,8,11,11,11,0
"176",17,8,8,12,15,0
"177",15,4,13,13,15,0
"178",15,15,5,12,13,0
"179",12,7,13,20,9,0
"180",16,9,10,10,14,0
"181",10,13,7,11,15,0
"182",11,11,10,12,14,0
"183",14,18,10,7,7,0
"184",16,13,10,9,11,0
"185",12,11,11,11,13,0
"186",10,11,13,14,10,0
"187",8,14,9,14,13,0
"188",14,13,8,9,12,0
"189",17,15,9,9,7,0
"190",13,15,13,7,11,0
"191",12,12,8,15,11,0
"192",12,14,10,13,9,1
"193",10,16,16,6,12,0
"194",13,8,12,8,15,0
"195",14,16,9,15,6,0
"196",14,12,10,15,7,0
"197",9,12,13,6,17,0
"198",11,11,12,12,11,0
"199",14,9,9,10,16,0
"200",8,18,13,10,8,0
"201",8,16,14,13,6,0
"202",16,10,10,10,12,0
"203",19,11,11,5,13,1
"204",15,7,14,6,17,0
"205",11,15,7,13,12,0
"206",10,15,13,11,11,0
"207",16,14,7,10,10,0
"208",16,12,12,3,17,0
"209",14,14,11,9,11,1
"210",13,17,20,6,5,0
"211",9,17,10,10,13,0
"212",8,14,9,9,17,1
"213",6,20,14,9,9,0
"214",11,14,15,9,10,0
"215",12,14,13,10,11,0
"216",17,7,14,11,9,0
"217",15,14,8,7,13,0
"218",15,14,15,7,7,0
"219",15,9,10,9,14,0
"220",12,15,10,8,14,0
"221",11,5,10,13,17,0
"222",15,13,10,12,8,0
"223",15,11,17,8,5,0
"224",18,11,10,9,9,1
"225",11,17,11,9,10,0
"226",15,11,12,10,11,0
"227",8,14,12,10,13,0
"228",12,11,10,17,10,1
"229",13,13,13,9,11,0
"230",14,11,6,14,11,0
"231",12,20,7,9,11,0
"232",8,13,15,10,12,0
"233",14,11,7,11,14,0
"234",19,9,12,7,13,0
"235",12,15,14,7,11,0
"236",17,14,12,9,5,0
"237",13,14,12,11,8,0
"238",9,12,12,8,15,1
"239",9,12,9,7,22,0
"240",13,16,11,8,10,0
"241",13,14,8,7,15,1
"242",8,17,15,10,10,0
"243",10,18,10,12,10,0
"244",14,10,11,12,11,0
"245",9,14,11,10,14,0
"246",12,11,17,8,12,0
"247",10,15,8,7,18,1
"248",12,13,17,9,9,0
"249",15,5,12,16,12,0
"250",14,10,18,8,11,0
"251",12,11,9,9,19,0
"252",14,17,10,11,7,0
"253",9,8,12,11,18,0
"254",12,8,13,10,15,0
"255",10,11,11,13,11,1
"256",12,12,8,12,12,0
"257",13,9,15,13,10,0
"258",15,12,9,9,13,0
"259",17,15,11,6,14,1
"260",13,10,13,12,6,1
"261",12,14,12,9,12,0
"262",13,7,15,15,11,0
"263",8,7,13,14,17,0
"264",11,16,7,15,11,0
"265",11,9,13,9,16,0
"266",8,17,11,13,9,0
"267",15,9,15,8,14,0
"268",10,9,14,10,15,1
"269",11,10,18,10,10,0
"270",7,14,12,16,10,0
"271",8,16,13,9,13,0
"272",7,8,15,13,14,0
"273",9,17,10,10,14,0
"274",14,5,14,11,15,0
"275",13,13,9,11,13,0
"276",16,11,17,9,6,0
"277",7,11,12,14,16,0
"278",14,5,15,12,12,0
"279",18,10,17,8,6,0
"280",12,12,14,10,10,1
"281",14,9,7,14,16,0
"282",15,10,7,14,15,0
"283",12,15,11,10,11,0
"284",13,7,16,12,10,0
"285",12,12,10,12,14,0
"286",14,5,13,8,19,1
"287",12,10,10,14,12,0
"288",8,12,11,16,15,0
"289",14,8,17,11,9,0
"290",14,10,8,15,11,0
"291",10,6,7,13,9,1
"292",14,10,18,19,12,1
"293",13,11,13,11,8,1
"294",14,14,15,11,3,0
"295",9,13,8,16,13,0
"296",13,14,14,12,8,0
"297",8,17,6,15,13,0
"298",11,10,17,14,7,1
"299",13,8,12,11,15,0
"300",12,15,5,16,11,0
"301",17,15,9,8,11,0
"302",12,14,11,12,11,0
"303",11,9,13,17,9,0
"304",9,12,13,13,10,1
"305",9,14,10,15,11,0
"306",16,10,10,11,11,0
"307",13,9,12,14,13,0
"308",13,9,12,12,14,0
"309",9,10,12,22,6,0
"310",18,9,12,11,9,0
"311",13,10,7,17,15,0
"312",13,8,15,14,13,0
"313",10,10,11,17,13,1
"314",16,7,11,14,12,0
"315",13,14,15,10,7,0
"316",8,9,10,20,12,0
"317",18,4,14,14,9,0
"318",12,19,9,9,12,0
"319",12,8,8,15,15,0
"320",17,6,10,18,8,0
"321",7,11,17,17,10,0
"322",7,12,16,17,8,0
"323",12,9,17,14,9,0
"324",12,9,9,16,14,0
"325",13,6,13,14,14,0
"326",17,8,11,12,13,0
"327",8,11,12,14,12,0
"328",7,9,16,11,14,0
"329",6,12,16,15,12,0
"330",8,11,10,16,14,0
"331",10,13,16,11,8,0
"332",13,18,11,8,8,0
"333",9,12,11,11,15,0
"334",11,11,12,13,11,0
"335",10,9,10,16,13,1
"336",8,13,21,8,8,0
"337",10,9,15,11,14,0
"338",8,16,14,13,7,0
"339",14,11,13,8,12,0
"340",8,10,22,8,12,1
"341",5,17,14,11,12,0
"342",13,15,11,12,7,0
"343",11,7,10,16,15,0
"344",12,9,12,14,12,1
"345",8,11,16,9,15,0
"346",10,15,13,5,14,0
"347",12,12,12,13,10,0
"348",15,14,10,11,9,0
"349",12,13,11,9,13,1
"350",8,11,11,17,12,0
"351",11,11,14,11,10,0
"352",8,11,16,13,13,0
"353",15,8,14,13,9,0
"354",12,8,10,13,17,0
"355",15,7,12,10,16,0
"356",8,4,14,15,19,0
"357",15,12,12,9,12,0
"358",10,13,13,11,12,0
"359",14,12,13,5,17,0
"360",7,13,10,13,14,0
"361",8,11,12,12,16,1
"362",13,8,15,11,13,0
"363",7,12,12,11,19,0
"364",18,11,14,9,8,0
"365",17,7,14,12,10,0
"366",9,16,12,11,11,0
"367",10,11,16,14,8,0
"368",11,15,13,12,10,0
"369",13,13,8,11,17,0
"370",3,12,19,16,10,0
"371",6,6,17,18,13,0
"372",9,16,11,10,14,0
"373",9,8,17,14,13,0
"374",13,14,11,8,13,0
"375",12,10,11,16,9,0
"376",13,17,10,11,8,1
"377",13,13,11,10,12,0
"378",8,6,22,13,10,0
"379",14,10,14,8,14,1
"380",14,13,10,8,14,0
"381",10,11,20,10,9,0
"382",10,10,19,12,8,0
"383",11,15,11,12,10,1
"384",8,13,14,14,13,0
"385",9,11,17,6,15,0
"386",12,12,11,8,15,0
"387",10,11,13,12,12,0
"388",10,10,15,12,11,1
"389",7,9,12,13,19,0
"390",12,9,13,11,14,0
"391",10,18,10,10,11,0
"392",8,10,15,13,13,0
"393",6,13,19,9,14,0
"394",7,12,11,7,21,0
"395",6,15,12,9,15,0
"396",13,12,10,11,14,0
"397",16,13,11,6,11,0
"398",14,12,12,16,6,0
"399",7,15,15,13,9,0
"400",8,16,11,9,15,0
"401",9,10,15,11,15,0
"402",10,18,9,9,15,0
"403",10,10,12,14,13,0
"404",9,9,11,18,11,0
"405",13,7,10,13,15,0
"406",10,15,11,10,13,0
"407",11,12,15,11,10,0
"408",14,20,8,8,11,0
"409",12,15,15,7,11,0
"410",10,6,11,13,18,0
"411",8,10,12,12,18,0
"412",11,16,13,14,5,0
"413",13,9,14,8,15,0
"414",13,11,11,9,16,0
"415",12,13,20,5,10,0
"416",14,16,12,8,5,0
"417",11,12,11,11,12,0
"418",19,13,11,7,11,0
"419",16,10,8,8,16,0
"420",8,11,10,10,16,1
"421",10,11,10,9,21,0
"422",16,8,13,8,16,0
"423",8,13,6,7,24,0
"424",6,17,17,7,10,0
"425",9,18,10,11,10,0
"426",5,17,15,10,9,1
"427",12,13,12,9,13,0
"428",17,17,9,10,8,0
"429",8,10,12,16,11,0
"430",14,11,9,12,13,0
"431",11,13,16,8,10,0
"432",11,13,10,10,15,0
"433",16,14,10,14,5,1
"434",10,19,13,2,15,0
"435",11,13,10,12,12,0
"436",9,14,9,15,12,0
"437",11,8,15,14,12,0
"438",12,9,12,14,13,0
"439",6,10,16,9,17,0
"440",10,14,8,10,17,0
"441",10,15,9,12,12,0
"442",7,18,14,9,11,0
"443",19,9,10,9,12,0
"444",12,10,10,13,13,0
"445",10,12,13,15,8,0
"446",15,10,12,10,12,0
"447",7,15,11,9,16,0
"448",10,17,10,9,12,0
"449",13,6,13,17,8,0
"450",10,16,15,9,10,1
"451",13,13,7,12,14,0
"452",11,10,13,7,17,0
"453",13,10,2,17,15,0
"454",14,17,13,8,8,0
"455",10,19,9,9,10,0
"456",13,13,9,9,14,0
"457",9,10,14,13,10,0
"458",17,10,10,10,11,0
"459",9,8,17,12,13,0
"460",14,12,15,8,11,0
"461",15,11,10,10,14,0
"462",11,14,5,15,13,0
"463",10,14,14,8,12,0
"464",11,11,12,13,11,0
"465",17,10,8,11,12,0
"466",9,14,12,10,15,0
"467",12,14,11,10,10,0
"468",11,8,12,13,15,0
